_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
253,Fiscal Year 2018,Maui College,430107,Administration of Justice,Career & Tech Ed,Public Services,Administration of Justice,,,Certs of Achievement,5
254,Fiscal Year 2018,Hawai`i CC,010301,Agriculture,Career & Tech Ed,Technology,Agriculture,,,Associate Degrees,2
255,Fiscal Year 2018,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, Spanish",Bachelor's Degrees,1
256,Fiscal Year 2018,UH Manoa,380201,Religion,College of Arts & Sciences,Arts & Humanities,Religion,Religion (Asian),,Master's Degrees,1
257,Fiscal Year 2018,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, Biological Sci",Bachelor's Degrees,2
258,Fiscal Year 2019,UH Manoa,040401,EnvironmentalDesign/Arch,School of Architecture,School of Architecture,Environmental Design,,,Bachelor's Degrees,27
259,Fiscal Year 2019,UH Manoa,100304,"Animation, Interactive Tech, V",College of Arts & Sciences,Arts & Humanities,Creative Media,,,Bachelor's Degrees,35
260,Fiscal Year 2019,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Social Science,,,Bachelor's Degrees,4
261,Fiscal Year 2019,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,Management,,,Bachelor's Degrees,41
262,Fiscal Year 2019,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Bachelor's Degrees,10
263,Fiscal Year 2019,Hawai`i CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Hawaiian Studies,,,,Associate Degrees,11
264,Fiscal Year 2019,UH Manoa,400401,Atmospheric Sci & Meteorology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Atmospheric Sciences,Atmospheric Sciences,,Doctoral Degrees,2
265,Fiscal Year 2019,UH Manoa,142401,Ocean & Resources Engineering,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Ocean & Res Eng,Ocean & Resources Engineering,,Doctoral Degrees,3
