_id,FISCAL_YEAR,CAMPUS,CIP,CIP_DESC,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,OUTCOME,AWARDS
3993,Fiscal Year 2022,UH Manoa,011299,"Soil Sciences, Other",Col of Trop Ag & Human Res,Tropical Ag & Human Res,Tropical Plant & Soil Sci,Tropical Plant & Soil Sciences,,Master's Degrees,2
3994,Fiscal Year 2022,Hawai`i CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,3
3995,Fiscal Year 2022,Leeward CC,510707,Health Info/Med Records Tech,Career & Tech Ed,Business Education,Health Information Technology,,,Certs of Achievement,24
3996,Fiscal Year 2022,UH Manoa,260305,Plant Pathology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Tropical Plant Pathology,Tropical Plant Pathology,Master's Degrees,3
3997,Fiscal Year 2022,Kapi`olani CC,513801,Registered Nursing/Reg Nurse,Career & Tech Ed,Health Services,Nursing,Nursing,,Associate Degrees,47
3998,Fiscal Year 2022,Honolulu CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,Early Childhood Education,,Associate Degrees,11
3999,Fiscal Year 2022,UH Manoa,131205,Secondary Education,College of Education,Education,Inst for Teacher Ed,Secondary Education,"Sec Education, Music",Bachelor's Degrees,2
4000,Fiscal Year 2022,Hawai`i CC,100304,"Animation, Interactive Tech, V",Career & Tech Ed,Humanities,Creative Media,,,Associate Degrees,5
4001,Fiscal Year 2022,Hawai`i CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Certs of Achievement,9
4002,Fiscal Year 2022,Honolulu CC,470608,Aircraft Powerplant Technology,Career & Tech Ed,Technology,Aeronautics Maint Tech,,,Associate Degrees,10
4003,Fiscal Year 2022,Honolulu CC,470605,Diesel Mechanics,Career & Tech Ed,Technology,Diesel Mechanics,,,Certs of Achievement,23
4004,Fiscal Year 2022,UH Manoa,500301,Dance,"College of Arts, Lang & Ltrs",Arts & Humanities,Theatre & Dance,Dance,,Bachelor's Degrees,11
4005,Fiscal Year 2022,Honolulu CC,301801,Natural Science,General & Pre-Prof Ed,Natural Sciences,Natural Science,,,Associate Degrees,3
4006,Fiscal Year 2022,UH Manoa,131210,Early Childhood Education,College of Education,Education,Curriculum Studies,Early Childhood Education,,Master's Degrees,2
4007,Fiscal Year 2022,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Long Term Care,,,Bachelor's Degrees,2
4008,Fiscal Year 2022,Hawai`i CC,151303,Arch Engineering & CAD Tech,Career & Tech Ed,Technology,Architectural Eng & CAD Tech,Architectural Eng & CAD Tech,,Certs of Achievement,4
4009,Fiscal Year 2022,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Doctoral Degrees,1
4010,Fiscal Year 2022,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Culinary Management,,,Bachelor's Degrees,2
4011,Fiscal Year 2022,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,English,,,Bachelor's Degrees,10
4012,Fiscal Year 2022,UH Manoa,511005,Medical Technology,School of Medicine,School of Medicine,Medical Technology,,,Bachelor's Degrees,7
4013,Fiscal Year 2022,UH Manoa,230101,"English, General","College of Arts, Lang & Ltrs","Lang, Ling & Lit",English,English,,Doctoral Degrees,3
4014,Fiscal Year 2022,Honolulu CC,470608,Aircraft Powerplant Technology,Career & Tech Ed,Technology,Aeronautics Maint Tech,,,Certs of Achievement,7
4015,Fiscal Year 2022,UH Manoa,131202,Elementary Education,College of Education,Education,Inst for Teacher Ed,Elementary Education,Elementary Education,Other,1
4016,Fiscal Year 2022,UH Manoa,400201,Astronomy,College of Natural Sciences,Natural Sciences,Physics & Astronomy,Astronomy,,Bachelor's Degrees,1
4017,Fiscal Year 2023,UH Manoa,160303,Korean,"College of Arts, Lang & Ltrs","Lang, Ling & Lit",East Asian Lang & Lit,Korean,Korean,Bachelor's Degrees,20
4018,Fiscal Year 2023,UH Manoa,451001,Political Science/Government,College of Social Sciences,Social Sciences,Political Science,Political Science,,Bachelor's Degrees,79
4019,Fiscal Year 2023,Maui College,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,170
4020,Fiscal Year 2023,UH Manoa,190707,Family and Community services,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Family & Consumer Sci,Human Dev & Family Studies,,Bachelor's Degrees,45
4021,Fiscal Year 2023,UH Manoa,520201,"Business Admin & Mgmt, General",College of Business Admin,Business Administration,Business Administration,,,Master's Degrees,102
4022,Fiscal Year 2023,UH Manoa,260301,Botany,College of Natural Sciences,Natural Sciences,Life Sciences,Botany,,Bachelor's Degrees,14
4023,Fiscal Year 2023,UH Manoa,400607,Oceanography,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Oceanography,Oceanography,,Master's Degrees,6
4024,Fiscal Year 2023,Maui College,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,16
4025,Fiscal Year 2023,UH Manoa,520301,Accounting,College of Business Admin,Business Administration,School of Accountancy,Accounting,,Bachelor's Degrees,73
4026,Fiscal Year 2023,UH Manoa,142401,Ocean & Resources Engineering,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Ocean & Res Eng,Ocean & Resources Engineering,,Master's Degrees,4
4027,Fiscal Year 2023,Leeward CC,110101,"Computer/Info Science, General",Career & Tech Ed,Business Education,Information & Computer Science,,,Associate Degrees,39
4028,Fiscal Year 2023,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Sustainable Community Food Sys,,,Bachelor's Degrees,5
4029,Fiscal Year 2023,Kaua`i CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Liberal Arts,Hawaiian Studies,,,Associate Degrees,3
4030,Fiscal Year 2023,UH Manoa,260406,Cell/Cellular & Molecular Biol,College of Natural Sciences,Natural Sciences,Life Sciences,Molecular & Cell Biology,,Bachelor's Degrees,16
4031,Fiscal Year 2023,Honolulu CC,190902,Apparel & Textile Manufacture,Career & Tech Ed,Technology,Fashion Technology,,,Certs of Achievement,3
4032,Fiscal Year 2023,Honolulu CC,120401,Cosmetology,Career & Tech Ed,Technology,Cosmetology,,,Associate Degrees,13
4033,Fiscal Year 2023,UH Manoa,131401,Eng for Speakers of other Lang,"College of Arts, Lang & Ltrs","Lang, Ling & Lit",Second Lang Studies,Second Lang Studies,Second Language Studies,Doctoral Degrees,5
4034,Fiscal Year 2023,UH Manoa,141901,Mechanical Engineering,College of Engineering,Engineering,Mechanical Engineering,,,Doctoral Degrees,5
4035,Fiscal Year 2023,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,General Public Administration,,,Bachelor's Degrees,4
4036,Fiscal Year 2023,Maui College,460415,Construction Technology,Career & Tech Ed,Technology,Construction Technology,,,Associate Degrees,3
4037,Fiscal Year 2023,Kapi`olani CC,100399,New Media Arts,Career & Tech Ed,Technology,New Media Arts,,,Associate Degrees,10
4038,Fiscal Year 2023,Hawai`i CC,460201,Carpentry,Career & Tech Ed,Technology,Carpentry Technology,,,Associate Degrees,9
4039,Fiscal Year 2024,UH Manoa,450701,Geography,College of Social Sciences,Geography & Environment,Geography,,,Bachelor's Degrees,4
4040,Fiscal Year 2024,UH Manoa,513801,Registered Nursing/Reg Nurse,School of Nursing,Nursing,Nursing,,,Bachelor's Degrees,115
4041,Fiscal Year 2024,UH Manoa,130301,Curriculum & Instruction,College of Education,Curriculum Studies,Curriculum Studies,,,Master's Degrees,67
4042,Fiscal Year 2024,UH Manoa,450201,Anthropology,College of Social Sciences,Anthropology,Anthropology,,,Bachelor's Degrees,27
4043,Fiscal Year 2024,UH Hilo,261302,Marine Biology & Bio Ocean,College Natural & Health Sci,Marine Science,Marine Science,,,Bachelor's Degrees,38
4044,Fiscal Year 2024,UH Manoa,140801,Civil Engineering,College of Engineering,"Civil, Envir and Constr Eng",Civil Engineering,,,Bachelor's Degrees,71
4045,Fiscal Year 2024,Windward CC,050202,American Indian/Native Studies,General & Pre-Prof Ed,Liberal Arts,Hawaiian Studies,,,Associate Degrees,38
4046,Fiscal Year 2024,UH West O`ahu,520201,"Business Admin & Mgmt, General",Professional Studies Division,Business Administration,Marketing,,,Bachelor's Degrees,26
4047,Fiscal Year 2024,Leeward CC,110801,"Digital Media, Web Page Design",Career & Tech Ed,Technology,Digital Media Production,,,Certs of Achievement,28
4048,Fiscal Year 2024,UH Manoa,050102,American Studies,"College of Arts, Lang & Ltrs",American Studies,American Studies,,,Bachelor's Degrees,8
4049,Fiscal Year 2023,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Certs of Achievement,1
4050,Fiscal Year 2023,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,1
4051,Fiscal Year 2024,UH Manoa,450603,Econometrics & Quant Economics,College of Social Sciences,Economics,Economics,,,Doctoral Degrees,6
4052,Fiscal Year 2024,UH Manoa,260305,Plant Pathology,Col of Trop Ag & Human Res,Plant & Environmtl Protect Sci,Tropical Plant Pathology,,,Master's Degrees,4
4053,Fiscal Year 2024,UH Manoa,100304,"Animation, Interactive Tech, V","College of Arts, Lang & Ltrs",ACM: School of Cinematic Arts,Creative Media,,,Bachelor's Degrees,24
4054,Fiscal Year 2023,UH Manoa,220202,Programs for Foreign Lawyers,School of Law,School of Law,Master in Law,,,Master's Degrees,3
4055,Fiscal Year 2024,UH Manoa,450201,Anthropology,College of Social Sciences,Anthropology,Anthropology,,,Master's Degrees,9
4056,Fiscal Year 2024,Leeward CC,110101,"Computer/Info Science, General",Career & Tech Ed,Business Education,Information & Computer Science,,,Certs of Achievement,63
4057,Fiscal Year 2024,UH Manoa,512201,Pub Health Sci & Epidemiology,Schl Social Work & Public Hlth,Public Health,Public Health,,,Doctoral Degrees,5
4058,Fiscal Year 2023,Leeward CC,011101,"Plant Sciences, General",Career & Tech Ed,Technology,Plant Bioscience,,,Certs of Achievement,1
4059,Fiscal Year 2023,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Culinary Management,,,Bachelor's Degrees,1
4060,Fiscal Year 2024,Kapi`olani CC,220302,Paralegal,Career & Tech Ed,Public Services,Paralegal,,,Associate Degrees,11
4061,Fiscal Year 2024,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,28
4062,Fiscal Year 2024,UH Manoa,400202,Astrophysics,College of Natural Sciences,Physics & Astronomy,Astrophysics,,,Bachelor's Degrees,4
4063,Fiscal Year 2024,UH Hilo,161001,Am Ind/Nat Am Lang Lit Ling,Ka Haka Ula O Keelikolani,Hawaiian Lang & Lit,Indigenous Lang & Culture Educ,,,Master's Degrees,4
4064,Fiscal Year 2024,UH West O`ahu,100304,"Animation, Interactive Tech, V",Academy for Creative Media,Creative Media,Creative Media,General Creative Media,,Bachelor's Degrees,35
4065,Fiscal Year 2024,Honolulu CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Tech,Automotive Technology,,Certs of Achievement,15
4066,Fiscal Year 2024,Honolulu CC,110901,Computer Sys Netwrk & Telecom,Career & Tech Ed,Technology,Comp Security&Network Tech,Comp Security&Network Tech,,Associate Degrees,25
4067,Fiscal Year 2024,UH Manoa,040902,Arch & Building Sciences/Tech,School of Architecture,Architecture,Architecture,,,Other,16
4068,Fiscal Year 2024,UH Manoa,380101,Philosophy,"College of Arts, Lang & Ltrs",Philosophy,Philosophy,,,Master's Degrees,2
4069,Fiscal Year 2024,Hawai`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,1
4070,Fiscal Year 2024,UH Manoa,380101,Philosophy,"College of Arts, Lang & Ltrs",Philosophy,Philosophy,,,Doctoral Degrees,2
4071,Fiscal Year 2024,UH Manoa,400801,Physics,College of Natural Sciences,Physics & Astronomy,Physics,,,Bachelor's Degrees,8
4072,Fiscal Year 2024,UH Hilo,131299,Teacher Education,College of Arts & Sciences,Social Sciences,Education,Teaching,,Master's Degrees,12
4073,Fiscal Year 2024,UH Maui College,460415,Construction Technology,Career & Tech Ed,Technology,Construction Technology,,,Certs of Achievement,7
4074,Fiscal Year 2024,UH Manoa,131205,Secondary Education,College of Education,School of Teacher Education,"Sec Education, English",,,Bachelor's Degrees,6
4075,Fiscal Year 2024,UH Manoa,260301,Botany,College of Natural Sciences,School of Life Sciences,Botany,,,Master's Degrees,2
4076,Fiscal Year 2024,UH Manoa,520903,Travel Industry Management,College of Business,School of Travel Industry Mgmt,Travel Industry Management,,,Master's Degrees,7
4077,Fiscal Year 2024,UH Manoa,220202,Programs for Foreign Lawyers,School of Law,Law,Master in Law,,,Master's Degrees,8
4078,Fiscal Year 2025,UH Manoa,260101,"Biology/Biological Sci, Gen",College of Natural Sciences,School of Life Sciences,Biology,,,Bachelor's Degrees,138
4079,Fiscal Year 2025,UH Manoa,521401,Marketing,College of Business,Marketing,Marketing Management,,,Master's Degrees,18
4080,Fiscal Year 2025,Hawai`i CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,179
4081,Fiscal Year 2025,Kapi`olani CC,510907,Radiology,Career & Tech Ed,Health Services,Radiologic Technology,,,Associate Degrees,21
4082,Fiscal Year 2025,UH Maui College,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,127
4083,Fiscal Year 2025,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,General Public Administration,,,Bachelor's Degrees,15
4084,Fiscal Year 2025,UH Manoa,131401,Eng for Speakers of other Lang,"College of Arts, Lang & Ltrs",Second Language Studies,Second Language Studies,,,Master's Degrees,9
4085,Fiscal Year 2025,UH West O`ahu,450101,Social Sciences,Social Sciences Division,Social Science,Sociology,,,Bachelor's Degrees,6
4086,Fiscal Year 2025,Kapi`olani CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,54
4087,Fiscal Year 2025,UH Manoa,260905,Biomed Sci (Reproductive Biol),School of Medicine,Health Sciences,"Anatomy, Biochem & Physiology",Developmental & Reprod Biology,,Doctoral Degrees,3
4088,Fiscal Year 2025,UH Hilo,520201,"Business Admin & Mgmt, General",Col of Business & Economics,Business & Economics,Business Administration,,,Bachelor's Degrees,76
4089,Fiscal Year 2025,UH Manoa,140301,Agricultural Engineering,Col of Trop Ag & Human Res,Molecular Biosci & Bioengr,Molecular Bioscience & Bioengr,,,Doctoral Degrees,7
4090,Fiscal Year 2025,UH Manoa,260202,Biochemistry,College of Natural Sciences,Chemistry,Biochemistry,,,Bachelor's Degrees,18
4091,Fiscal Year 2025,UH Manoa,520201,"Business Admin & Mgmt, General",College of Business,Business,Business Administration,,,Doctoral Degrees,10
4092,Fiscal Year 2025,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,18
4093,Fiscal Year 2025,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Associate Degrees,1
4094,Fiscal Year 2025,UH Manoa,130101,"Education, General",College of Education,Education,Education,,,Doctoral Degrees,12
4095,Fiscal Year 2025,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Information Security Assurance,,,Bachelor's Degrees,18
4096,Fiscal Year 2025,Hawai`i CC,030599,Trop Forest Eco Mgmt & Agrofor,Career & Tech Ed,Technology,Trop Forest Ecosys & Agrof Mgt,,,Associate Degrees,5
4097,Fiscal Year 2025,UH Hilo,050127,Japanese Studies,College of Arts & Sciences,Arts & Humanities,Japanese Studies,,,Bachelor's Degrees,9
4098,Fiscal Year 2025,Leeward CC,150406,Automation Engineer Technician,Career & Tech Ed,Technology,Integrated Industrial Tech,,,Associate Degrees,10
4099,Fiscal Year 2025,UH Manoa,422799,"Research & Exp Psychology, Oth",College of Social Sciences,Psychology,Psychology,,,Doctoral Degrees,4
4100,Fiscal Year 2025,Kaua`i CC,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Tech,Automotive Technology,,Associate Degrees,4
4101,Fiscal Year 2025,UH West O`ahu,100304,"Animation, Interactive Tech, V",Academy for Creative Media,Creative Media,Creative Media,Communication&New Media Tech,,Bachelor's Degrees,11
4102,Fiscal Year 2025,UH Manoa,131210,Early Childhood Education,College of Education,School of Teacher Education,"Elem Education, Early Child",,,Bachelor's Degrees,8
4103,Fiscal Year 2025,UH Manoa,131205,Secondary Education,College of Education,School of Teacher Education,Secondary Education,,,Other,11
4104,Fiscal Year 2025,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Health Professions,,,Bachelor's Degrees,6
4105,Fiscal Year 2025,UH Manoa,131205,Secondary Education,College of Education,School of Teacher Education,"Sec Education, Social Studies",,,Bachelor's Degrees,3
4106,Fiscal Year 2025,UH Maui College,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Technology,,,Associate Degrees,6
4107,Fiscal Year 2025,UH Manoa,131205,Secondary Education,College of Education,School of Teacher Education,"Sec Education, Japanese",,,Bachelor's Degrees,2
4108,Fiscal Year 2025,UH Maui College,470617,High Perfrm&Cstm EngTech/Mech,Career & Tech Ed,Technology,Automotive Technology,,,Certs of Achievement,1
4109,Fiscal Year 2010,Maui CC,240101,Liberal Arts,General & Pre-Prof Ed,Liberal Arts,Liberal Arts,,,Associate Degrees,122
4110,Fiscal Year 2010,UH Manoa,500701,Art,College of Arts & Sciences,Arts & Humanities,Art,Art,,Bachelor's Degrees,116
4111,Fiscal Year 2010,UH Manoa,240101,Liberal Arts,College of Arts & Sciences,Other Arts & Sciences,Interdisciplinary Studies,Interdisciplinary Studies,,Bachelor's Degrees,124
4112,Fiscal Year 2010,UH Manoa,130401,Educational Administration,College of Education,Education,Educational Administration,,,Master's Degrees,27
4113,Fiscal Year 2010,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,Hawaiian/Pacific Studies,,,Bachelor's Degrees,8
4114,Fiscal Year 2010,UH Manoa,011001,Food Science & Technology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,"Hum Nutr, Food & Animal Sci",Food Science,,Master's Degrees,2
4115,Fiscal Year 2010,Honolulu CC,151303,Arch Engineering & CAD Tech,Career & Tech Ed,Technology,Arch Eng & CAD Tech,Architectural Eng & CAD Tech,,Associate Degrees,21
4116,Fiscal Year 2010,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Health Care Administration,,,Bachelor's Degrees,8
4117,Fiscal Year 2010,UH Manoa,420101,"Psychology, General",College of Arts & Sciences,Social Sciences,Psychology,Psychology,,Bachelor's Degrees,162
4118,Fiscal Year 2010,UH West O`ahu,309999,Interdisciplinary Studies,Professional Studies Division,Applied Science,Respiratory Care,,,Bachelor's Degrees,1
4119,Fiscal Year 2010,UH Manoa,521001,Human Resource Management,College of Business Admin,Business Administration,Mgt & Industrial Rel,Human Resource Management,,Bachelor's Degrees,17
4120,Fiscal Year 2010,UH Manoa,050207,Women's Studies,College of Arts & Sciences,Social Sciences,Women's Studies,Women's Studies,,Bachelor's Degrees,15
4121,Fiscal Year 2010,UH Manoa,400201,Astronomy,College of Arts & Sciences,Natural Sciences,Physics & Astronomy,Astronomy,,Doctoral Degrees,7
4122,Fiscal Year 2010,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Geology,Geology & Geophysics,,Doctoral Degrees,7
4123,Fiscal Year 2010,UH Manoa,310505,Exercise & Sports Science,College of Education,Education,Kinesiology & Rehab Sci,Kinesiology & Rehab Science,,Master's Degrees,20
4124,Fiscal Year 2010,UH Manoa,512201,Pub Health Sci & Epidemiology,School of Medicine,School of Medicine,Public Health,Public Health,,Master's Degrees,18
4125,Fiscal Year 2010,Kapi`olani CC,510801,Medical/Clinical Assistant,Career & Tech Ed,Health Services,Medical Assisting,,,Certs of Achievement,15
4126,Fiscal Year 2010,Hawai`i CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire Science,,,Certs of Achievement,3
4127,Fiscal Year 2010,Hawai`i CC,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,22
4128,Fiscal Year 2010,Honolulu CC,470616,Boat Maintenance & Repair,Career & Tech Ed,Technology,Small Vessel Fabricatn &Repair,,,Associate Degrees,3
4129,Fiscal Year 2010,Honolulu CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire & Envir Emergency Resp,,,Certs of Achievement,1
4130,Fiscal Year 2010,UH Manoa,400601,Geology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Geology,Geology & Geophysics,,Master's Degrees,6
4131,Fiscal Year 2010,UH Hilo,400501,"Chemistry, General",College of Arts & Sciences,Natural Sciences,Chemistry,,,Bachelor's Degrees,4
4132,Fiscal Year 2010,Kapi`olani CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Associate Degrees,14
4133,Fiscal Year 2010,UH Manoa,500901,"Music, General",College of Arts & Sciences,Arts & Humanities,Music,,,Doctoral Degrees,2
4134,Fiscal Year 2010,UH Manoa,260502,Microbiology,College of Arts & Sciences,Natural Sciences,Microbiology,,,Master's Degrees,5
4135,Fiscal Year 2010,UH Manoa,520903,Travel Industry Management,School of Travel Industry Mgt,Travel Industry Management,Travel Industry Management,,,Master's Degrees,2
4136,Fiscal Year 2010,UH Manoa,500301,Dance,College of Arts & Sciences,Arts & Humanities,Theater & Dance,Dance,,Master's Degrees,3
4137,Fiscal Year 2010,UH Manoa,400404,Meteorology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Meteorology,,,Doctoral Degrees,5
4138,Fiscal Year 2010,UH Manoa,380101,Philosophy,College of Arts & Sciences,Arts & Humanities,Philosophy,,,Doctoral Degrees,1
4139,Fiscal Year 2010,Hawai`i CC,521401,Marketing,Career & Tech Ed,Business Education,Marketing,,,Certs of Achievement,1
4140,Fiscal Year 2010,UH Manoa,160905,Spanish,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,Lang&Lit/Europe&Amer-Spanish,,Master's Degrees,2
4141,Fiscal Year 2011,UH Manoa,520801,Finance,College of Business Admin,Business Administration,Finance,,,Bachelor's Degrees,114
4142,Fiscal Year 2011,UH Manoa,160199,"Ling, Comp & Rel Lang Studies",College of Arts & Sciences,"Lang, Ling & Lit",Second Lang Studies,Second Language Acquisition,,Doctoral Degrees,4
4143,Fiscal Year 2011,UH Manoa,160901,French,College of Arts & Sciences,"Lang, Ling & Lit",Lang & Lit of Europe & Amer,French,,Bachelor's Degrees,12
4144,Fiscal Year 2011,UH Manoa,050202,American Indian/Native Studies,Hawai`inuiakea Sch Hawn Knowledge,Hawaiian Studies,Hawaiian Studies,,,Bachelor's Degrees,41
4145,Fiscal Year 2012,UH Manoa,450601,Economics,College of Arts & Sciences,Social Sciences,Economics,,,Bachelor's Degrees,86
4146,Fiscal Year 2012,UH Manoa,160302,Japanese,College of Arts & Sciences,"Lang, Ling & Lit",East Asian Lang & Lit,Japanese,,Bachelor's Degrees,42
4147,Fiscal Year 2011,UH Hilo,310505,Exercise & Sports Science,College of Arts & Sciences,Social Sciences,Kinesiology & Exercise Science,,,Bachelor's Degrees,23
4148,Fiscal Year 2011,UH Manoa,513801,Registered Nursing/Reg Nurse,Schl of Nurs & Dental Hygiene,Nursing & Dental Hygiene,Professional Nursing,Nursing,,Bachelor's Degrees,108
4149,Fiscal Year 2011,UH Manoa,160102,Linguistics,College of Arts & Sciences,"Lang, Ling & Lit",Linguistics,,,Doctoral Degrees,8
4150,Fiscal Year 2011,UH Manoa,440701,Social Work,School of Social Work,School of Social Work,Social Work,,,Bachelor's Degrees,26
4151,Fiscal Year 2011,Kaua`i CC,150303,Electronic Technology,Career & Tech Ed,Technology,Electronics Technology,,,Associate Degrees,8
4152,Fiscal Year 2011,UH Manoa,050103,Asian Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Asian Studies,Asian Studies,,Bachelor's Degrees,26
4153,Fiscal Year 2012,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Certs of Achievement,24
4154,Fiscal Year 2011,UH Hilo,540101,History,College of Arts & Sciences,Social Sciences,History,,,Bachelor's Degrees,18
4155,Fiscal Year 2012,UH Manoa,521001,Human Resource Management,College of Business Admin,Business Administration,Mgt & Industrial Rel,Human Resource Management,,Bachelor's Degrees,17
4156,Fiscal Year 2012,UH Manoa,090101,Speech Communicatn & Rhetoric,College of Arts & Sciences,Social Sciences,Communications,Communication,,Bachelor's Degrees,81
4157,Fiscal Year 2011,Hawai`i CC,131210,Early Childhood Education,Career & Tech Ed,Public Services,Early Childhood Education,,,Associate Degrees,10
4158,Fiscal Year 2011,UH Hilo,050202,American Indian/Native Studies,Ka Haka Ula O Keelikolani,Hawaiian Lang & Lit,Hawaiian Studies,,,Bachelor's Degrees,13
4159,Fiscal Year 2011,Kapi`olani CC,110103,Information Technology,Career & Tech Ed,Business Education,Information Tech,Information Technology,,Associate Degrees,16
4160,Fiscal Year 2011,UH West O`ahu,440401,Public Administration,Professional Studies Division,Public Administration,Justice Administration,,,Bachelor's Degrees,18
4161,Fiscal Year 2011,UH Manoa,400404,Meteorology,Schl of Ocean & Earth Sci & Tech,Ocean & Earth Sci & Tech,Meteorology,,,Master's Degrees,5
4162,Fiscal Year 2011,Kapi`olani CC,511004,Medical Laboratory Technician,Career & Tech Ed,Health Services,Medical Lab Technician,,,Associate Degrees,12
4163,Fiscal Year 2011,UH West O`ahu,240103,Humanities,Humanities Division,Humanities,Hawaiian/Pacific Studies,,,Bachelor's Degrees,5
4164,Fiscal Year 2011,Leeward CC,120500,Food Service,Career & Tech Ed,Food Services,Culinary Arts,,,Associate Degrees,11
4165,Fiscal Year 2011,Leeward CC,520301,Accounting,Career & Tech Ed,Business Education,Accounting,Accounting,,Certs of Achievement,20
4166,Fiscal Year 2011,UH Manoa,050103,Asian Studies,Schl of Pacific & Asian Studies,Pacific & Asian Studies,Asian Studies,Asian Studies,,Master's Degrees,17
4167,Fiscal Year 2011,Maui College,470604,Automotive Mechanics Tech,Career & Tech Ed,Technology,Automotive Mechanics Tech,,,Associate Degrees,3
4168,Fiscal Year 2011,Honolulu CC,430203,Fire & Environtl Emerg Resp,Career & Tech Ed,Public Services,Fire & Envir Emergency Resp,,,Certs of Achievement,1
4169,Fiscal Year 2011,UH Manoa,230101,"English, General",College of Arts & Sciences,"Lang, Ling & Lit",English,,,Doctoral Degrees,6
4170,Fiscal Year 2011,UH Manoa,500901,"Music, General",College of Arts & Sciences,Arts & Humanities,Music,,,Doctoral Degrees,2
4171,Fiscal Year 2011,UH Manoa,141001,Electrical Engineering,College of Engineering,Engineering,Electrical Engineering,,,Doctoral Degrees,3
4172,Fiscal Year 2011,UH Manoa,110101,"Computer/Info Science, General",College of Arts & Sciences,Natural Sciences,Information & Comp Sci,Information& Computer Sciences,,Master's Degrees,2
4173,Fiscal Year 2011,UH Manoa,260702,Entomology,Col of Trop Ag & Human Res,Tropical Ag & Human Res,Plant & Env Protect Sci,Entomology,,Doctoral Degrees,3
4174,Fiscal Year 2011,UH Manoa,261309,Epidemiology,School of Medicine,School of Medicine,Public Health,Biomed Sci (Epidemiology),,Doctoral Degrees,1
4175,Fiscal Year 2011,UH Manoa,512201,Pub Health Sci & Epidemiology,School of Medicine,School of Medicine,Public Health,Public Health,,Doctoral Degrees,2
